Seq,College,Town,Wiki_Summary
111,Bellevue College,Bellevue,"Bellevue College (BC) is a public college in Bellevue, Washington, United States. It is the largest of the 34 institutions that make up the Washington Community and Technical Colleges system and the third-largest institution of higher education overall in the state (behind the University of Washington and Washington State University).
The institution offers transfer associate degree programs that cover the first two years of a college education, bachelor's degree programs, professional-technical degrees and certificates, a large continuing education program, and pre-college programs. The college also has a variety of distance education and online learning options.
BC's service district includes the public school districts of Bellevue, Mercer Island, Issaquah, Skykomish and Snoqualmie Valley. The current President of Bellevue College is former Governor of Washington and US Secretary Commerce Gary Locke.

"
112,Bellevue University,Bellevue ...,"Bellevue University is a private university in Bellevue, Nebraska. It opened in 1966 as Bellevue College and from the outset has focused on providing adult education and educational outreach. As of 2011, 80% of its undergraduates were aged 25 and over. The university has over 10,000 students enrolled in a variety of undergraduate and graduate programs.

"
113,Bellin College,Green Bay,not available
114,Belmont Abbey College,Belmont,"Belmont Abbey College  is a private, Catholic liberal arts college in Belmont, North Carolina. It was founded in 1876 by the Benedictine monks of Belmont Abbey. The school is affiliated with the Catholic Church and the Order of Saint Benedict. It is endorsed by The Newman Guide to Choosing a Catholic College. Belmont Abbey is the only college in North Carolina affiliated with the Catholic Church.
Offering an undergraduate education, the college enrolls students from diverse ethnic, cultural, and religious backgrounds.

"
115,Belmont University,Nashville,"Belmont University is a private Christian university in Nashville, Tennessee. Descended from Belmont Women's College, founded in 1890 by schoolteachers Ida Hood and Susan Heron, the institution was incorporated in 1951 as Belmont College. It became Belmont University in 1991. Belmont's current enrollment consists of approximately 8,400 students representing every state and 28 nations. The university served as the host site for the final presidential debate in the 2020 election cycle. Although the university cut its ties with the Tennessee Baptist Convention in 2007, it continues to emphasize a Christian identity."
116,Beloit College,Beloit,"Beloit College is a private liberal arts college in Beloit, Wisconsin. Founded in 1846, when Wisconsin was still a territory, it is the state's oldest continuously operated college. It is a member of the Associated Colleges of the Midwest and has an enrollment of roughly 1,400 undergraduate students.

"
117,Bemidji State University,Bemidji,"Bemidji State University (BSU) is a public university in Bemidji, Minnesota. Founded as a preparatory institution for teachers in 1919, it provides higher education to north-central Minnesota.  It is part of the Minnesota State Colleges and Universities system.

"
118,Benedict College,Columbia,"Benedict College is a private historically black college in Columbia, South Carolina. Founded in 1870 by northern Baptists, it was originally a teachers' college. It has since expanded to offer majors in many disciplines across the liberal arts. The campus includes buildings in the Benedict College Historic District, a historic area listed on the National Register of Historic Places.
Benedict College was founded in 1870 on land of a former 110-acre (45 ha) plantation in Columbia, South Carolina. Representing the American Baptist Home Mission Society, Bathsheba A. Benedict of Pawtucket, Rhode Island had provided the $13,000.00 to purchase the property. This was one of numerous educational institutions founded in the South for newly freed slaves by northern religious mission societies, as education was seen as key to the future for African Americans.

"
119,Benedictine College,Atchison,"Benedictine College is a private Benedictine liberal arts college in Atchison, Kansas, United States. It was established in 1971 by the merger of St. Benedict's College (founded 1858) for men and Mount St. Scholastica College (founded 1923) for women. It is located on bluffs overlooking the Missouri River, northwest of Kansas City, Missouri. Benedictine is one of a number of U.S. Benedictine colleges and is sponsored by St. Benedict's Abbey and Mount St. Scholastica Monastery. The abbey has a current population of 53 monks, while the Mount monastery numbers 147 community members. The college has built its core values around four ""pillars"" — Catholic, Benedictine, Liberal Arts, Residential — which support the Benedictine College mission to educate men and women in a community of faith and scholarship."
120,Benedictine University,Lisle,"Benedictine University is a private Roman Catholic university in Lisle, Illinois. It was founded in 1887 as St. Procopius College by the Benedictine monks of St. Procopius Abbey in the Pilsen community on the West Side of Chicago. The institution has retained a close relationship with the Benedictine Order, which bears the name of St. Benedict (480–543 A.D.), the acknowledged father of western monasticism.The university resides in the western Chicago metropolitan area, located near two national research facilities, Argonne National Laboratory and Fermi National Accelerator Laboratory. The university's location along the East-West Tollway corridor provides internship and employment opportunities for students. Benedictine University also has a branch campus in Mesa, Arizona.

"
121,Benjamin Franklin Institute of Technology,Boston,"Benjamin Franklin Institute of Technology (BFIT) is a private college of engineering and industrial technologies in Boston, Massachusetts. It was established in 1908 with funds bequeathed in Benjamin Franklin's will.

"
122,Bennett College,Greensboro,"Bennett College is a private historically black liberal arts college for women in Greensboro, North Carolina. It was founded in 1873 as a normal school to educate freedmen and train both men and women as teachers. Originally coed, in 1926 it became a four-year women's college. It is one of two historically black colleges that enroll only women, the other being Spelman College.In 1956, Willa Beatrice Player was installed at Bennett College, becoming the first African-American woman president of an accredited, four-year liberal arts college. She encouraged her students to be activists in the issues of the day. Beginning in 1960, Bennett students took part in the ultimately successful campaign in Greensboro to integrate white lunch counters at local variety stores. The college expanded its academic offerings and classes related to women's leadership.
In December 2018, the college's regional accrediting body, the Southern Association of Colleges and Schools Commission on Colleges, announced that it intended to revoke Bennett College's accreditation. The college had been on probation for two years due to its considerable financial challenges. The college launched an emergency funding campaign, Change and Progress for Bennett, to raise at least $5 million. By February, the campaign raised $8.2 million. On February 18, 2019, SACS withdrew accreditation from the college despite fundraising efforts; however, Bennett College filed a lawsuit against the accreditor and the court ordered the accreditation to remain in place pending the legal challenge.On June 27, 2019, Bennett announced that Suzanne Walsh, would be its new president. Walsh was previously deputy director of the Bill & Melinda Gates Foundation's Postsecondary Success division."
123,Bennington College,Bennington,"Bennington College is a private liberal arts college in Bennington, Vermont. Founded in 1932 as a women's college, it became co-educational in 1969. It claims to be the first college to include visual and performing arts as an equal partner in the liberal arts curriculum. It is accredited by the New England Commission of Higher Education."
124,Bentley University,Waltham,"Bentley University is a private university focused on business and located in Waltham, Massachusetts. Founded in 1917 as a school of accounting and finance in Boston's Back Bay neighborhood, Bentley moved to Waltham in 1968. Bentley awards Bachelor of Science degrees in 14 business fields and Bachelor of Arts degrees in 11 arts and sciences disciplines, offering 36 minors spanning both arts and science and business disciplines. The graduate school emphasizes the impact of technology on business practice, and offers PhD programs in Business and Accountancy, the Bentley MBA with 16 areas of concentration, an integrated MS+MBA, seven Master of Science degrees, several graduate certificate programs and custom executive education programs.
Bentley's athletic teams compete in Division II of the NCAA (except for men's hockey, which competes in Division I) and are known collectively as the Bentley Falcons. They compete in the Northeast-10 Conference.

"
125,Berea College,Berea,not available
126,Berkeley College,New York City ...,"Berkeley College is a private for-profit college with campuses in New York, New Jersey, and online.  It was founded in 1931 and offers undergraduate and graduate degrees and certificate programs. Berkeley College is accredited by the Middle States Commission on Higher Education.  There is no association between Berkeley College and The University of California, Berkeley."
127,Berklee College of Music,Boston,"Berklee College of Music is a private music college in Boston, Massachusetts. It is the largest independent college of contemporary music in the world. Known for the study of jazz and modern American music, it also offers college-level courses in a wide range of contemporary and historic styles, including rock, hip hop, reggae, salsa, heavy metal and bluegrass. Berklee alumni have won 310 Grammy Awards, more than any other college, and 108 Latin Grammy Awards. Other notable accolades for its alumni include 34 Emmy Awards, 7 Tony Awards, 8 Academy Awards, and 3 Saturn Awards.
Since 2012, Berklee College of Music has also operated a campus in Valencia, Spain. In December 2015, Berklee College of Music and the Boston Conservatory agreed to a merger. The combined institution is known as Berklee, with the conservatory becoming The Boston Conservatory at Berklee."
128,Berry College,Mount Berry,"Berry College is a private liberal arts college in the Mount Berry community adjacent to Rome, Georgia. It is accredited by the Southern Association of Colleges and Schools (SACS). Berry College was founded on values based on Christian principles in 1902 by Martha Berry."
129,Bethany College,Bethany,not available
130,"Bethany College, Kansas",Lindsborg,not available
131,Bethany Lutheran College,Mankato,"Bethany Lutheran College (BLC) is a private Christian liberal arts college in Mankato, Minnesota. Founded in 1927, BLC is operated by the Evangelical Lutheran Synod. The campus overlooks the Minnesota River valley in a community of 53,000.

"
132,Bethel College,North Newton,"Bethel College is a private Christian college in North Newton, Kansas. It is affiliated with Mennonite Church USA.

"
133,Bethel University,Mishawaka,"Bethel University is a private Christian liberal arts university in Mishawaka, Indiana. It was established in 1947 and is affiliated with the evangelical Christian Missionary Church."
134,Bethel University,Saint Paul ...,not available
135,"Bethel University, Tennessee",McKenzie,"Bethel University is a private Christian university in McKenzie, Tennessee with satellite campuses in Memphis, Nashville, Jackson, Paris, and Clarksville. It is accredited to award degrees up to the master's level."
136,Bethesda University,Anaheim,"Bethesda University is a private Christian university in Anaheim, California. It was founded in 1976 by David Yonggi Cho. The university is accredited by the Association for Biblical Higher Education and the Transnational Association of Christian Colleges and Schools and it is approved by the Bureau for Private Postsecondary Education of the State of California.

"
137,Bethune-Cookman University,Daytona Beach,"Nicholas Cordell Collins (born August 16, 1983) is a former American football safety who played seven seasons for the Green Bay Packers of the National Football League (NFL). He played college football at Bethune-Cookman, and was drafted by the Packers in the second round of the 2005 NFL Draft. Collins led the league in interceptions returned for touchdowns and interception return yards in the 2008 season. In Super Bowl XLV, he intercepted Ben Roethlisberger for a touchdown as the Packers beat the Pittsburgh Steelers, 31-25.
In 2011, Collins suffered a career-ending neck injury during a game against the Carolina Panthers. He was officially released by the Packers in 2012, and formally announced his retirement in 2014. Collins was inducted into the Green Bay Packers Hall of Fame in 2016.

"
138,Beulah Heights University,Atlanta,not available
139,"Binghamton University, State University of New York",Vestal,"The State University of New York at Binghamton (Binghamton University or SUNY Binghamton) is a public research university with campuses in Binghamton, Vestal, and Johnson City, New York.  It is one of the four university centers in the State University of New York (SUNY) system. As of Fall 2020, 18,128 undergraduate and graduate students attend the university. The 4-year graduation rate is 72%.Since its establishment in 1946, the school has evolved from a small liberal arts college to a large research university. It is classified among ""R1: Doctoral Universities – Very high research activity"".Binghamton's athletic teams are the Bearcats and they compete in Division I of the National Collegiate Athletic Association (NCAA).  The Bearcats are members of the America East Conference."
140,Biola University,La Mirada,not available
141,Birmingham-Southern College,Birmingham,"Birmingham ( BUR-ming-ham) is a city in the north central region of the U.S. state of Alabama. Birmingham is the seat of Jefferson County, Alabama's most populous county. As of the 2021 census estimates, Birmingham had a population of 197,575, down 1% from the 2020 Census, making it Alabama's third-most populous city after Huntsville and Montgomery. The broader Birmingham metropolitan area had a 2020 population of 1,115,289, and is the largest metropolitan area in Alabama as well as the 50th-most populous in the United States. Birmingham serves as an important regional hub and is associated with the Deep South, Piedmont, and Appalachian regions of the nation.
Birmingham was founded in 1871, during the post-Civil War Reconstruction period, through the merger of three pre-existing farm towns, notably, Elyton. It grew from there, annexing many more of its smaller neighbors, into an industrial and railroad transportation center with a focus on mining, the iron and steel industry, and railroading. Birmingham was named for Birmingham, England, one of that nation's major industrial cities. Most of the original settlers who founded Birmingham were of English ancestry. The city may have been planned as a place where cheap, non-unionized, and often African-American labor from rural Alabama could be employed in the city's steel mills and blast furnaces, giving it a competitive advantage over industrial cities in the Midwest and Northeast.From its founding through the end of the 1960s, Birmingham was a primary industrial center of the South. The pace of Birmingham's growth during the period from 1881 through 1920 earned its nicknames The Magic City and The Pittsburgh of the South. Much like Pittsburgh, Birmingham's major industries were iron and steel production, plus a major component of the railroading industry, where rails and railroad cars were both manufactured in Birmingham. In the field of railroading, the two primary hubs of railroading in the Deep South were nearby Atlanta and Birmingham, beginning in the 1860s and continuing through to the present day. The economy diversified during the later half of the twentieth century. Though the manufacturing industry maintains a strong presence in Birmingham, other businesses and industries such as banking, telecommunications, transportation, electrical power transmission, medical care, college education, and insurance have risen in stature. Mining in the Birmingham area is no longer a major industry with the exception of coal mining. Birmingham ranks as one of the most important business centers in the Southeastern United States and is also one of the largest banking centers in the United States. In addition, the Birmingham area serves as headquarters to one Fortune 500 company: Regions Financial, along with five other Fortune 1000 companies.
In higher education, Birmingham has been the location of the University of Alabama at Birmingham School of Medicine (formerly the Medical College of Alabama) and the University of Alabama at Birmingham School of Dentistry since 1947. Since that time it has also obtained a campus of the University of Alabama, University of Alabama at Birmingham (founded circa 1969), one of three main campuses of the University of Alabama System. It is also home to three private institutions: Samford University, Birmingham-Southern College, and Miles College. Between these colleges and universities, the Birmingham area has major colleges of medicine, dentistry, optometry, pharmacy, law, engineering, and nursing. Birmingham is also the headquarters of the Southeastern Conference, one of the major U.S. collegiate athletic conferences.

"
142,Bismarck State College,Bismarck,"Bismarck State College (BSC) is a public college in Bismarck, North Dakota.  It is the third largest college in the North Dakota University System with 3,781 students as of September 2016.  Established in 1939, it is a comprehensive community college that offers the first two years of education toward a bachelor's degree in most fields as well as 20+ bachelor's degree and several undergraduate programs in conjunction with other university system institutions. Approximately 35 technical programs are offered and more than 150 courses are offered online. Unique to the institution are degrees in energy, including power and process plant technology, nuclear power technology, electric power technology, and renewable energy.

"
143,Black Hills State University,Spearfish,"Black Hills State University (BHSU) is a public university in Spearfish, South Dakota.  Close to 4,000 students attend classes at its 123-acre (50 ha) campus in Spearfish, at sites in Rapid City and Pierre, and through distance offerings. Enrollment comes from 64 out of 66 counties in South Dakota, 43 states, and 29 countries. BHSU is governed by the South Dakota Board of Regents.

"
144,Blackburn College,Carlinville,"Blackburn College is a private college in Carlinville, Illinois. It was established in 1837 and named for the Gideon Blackburn.  The college is affiliated with the Presbyterian Church (USA).
Blackburn is a federally recognized work college with a student-managed work program, enabling students to gain leadership experience as they manage other students.  All resident students are required to work, but the program is optional for commuters.  Each student who works receives a tuition discount for the hours they work.

"
145,Blessing-Rieman College of Nursing and Health Sciences,Quincy,not available
146,Bloomfield College,Bloomfield,"Bloomfield College is a private college in Bloomfield, New Jersey. Bloomfield College is chartered by the State of New Jersey and accredited by the Middle States Commission on Higher Education. The college is affiliated with the Presbyterian Church (USA) through the Synod of the Northeast and is a member of the Association of Presbyterian Colleges and Universities."
147,Bloomsburg University of Pennsylvania,Bloomsburg,"Bloomsburg University of Pennsylvania (Bloomsburg, BU or Bloom) is a public university in Bloomsburg, Pennsylvania. It is part of the Pennsylvania State System of Higher Education (PASSHE). Bloomsburg University is accredited by the Middle States Commission on Higher Education with some degree programs accredited by specialized accreditors.

"
148,Blue Mountain College,Blue Mountain,"Blue Mountain College (BMC) is a private college supported by the Mississippi Baptist Convention and located in Blue Mountain, Mississippi.  Founded as a women's college in 1873, the college's board of trustees voted unanimously for the college to go fully coeducational in 2005."
149,Bluefield College,Bluefield,"Bluefield University  is a private Baptist university in Bluefield, Virginia. It offers 22 majors and is accredited by the Southern Association of Colleges and Schools.  The 82-acre (330,000 m2) campus is about 150 ft (46 m) from the state line between Virginia and West Virginia. It is affiliated with the Baptist General Association of Virginia. Bluefield University merged with Edward Via College of Osteopathic Medicine medical school system located at the campus of Virginia Tech in Blacksburg, Virginia.

"
150,Bluefield State College,Bluefield,"Bluefield State University is a university historically black university in Bluefield, West Virginia. It is a part of West Virginia's public education system and the only non-residential four-year college or university in the system. Bluefield State University is a member school of the Thurgood Marshall College Fund. Though it maintains its federal status as a historically black university, the student body is less than 13% black and over 80% white.

"
151,Bluffton University,Bluffton,"Bluffton University is a private Mennonite university in Bluffton, Ohio. It is accredited by the Higher Learning Commission, with four programs that have earned programmatic accreditation: dietetics, education, music, and social work. The university has more than eighty majors, minors, and interdisciplinary programs, and sixteen NCAA DIII athletic teams.

"
152,Bob Jones University,Greenville,"Bob Jones University (BJU) is a private, non-denominational evangelical university in Greenville, South Carolina, known for its conservative cultural and religious positions. The university, with approximately 2,500 students, is accredited by the Southern Association of Colleges and Schools Commission on Colleges (SACSCOC) and the Transnational Association of Christian Colleges and Schools. The university's athletic teams, the Bruins, compete in Division II of the National Christian College Athletic Association (NCCAA) and provisionally in Division III of the National Collegiate Athletic Association (NCAA). In 2008, the university estimated the number of its graduates at 35,000; in 2017, 40,184."
153,Boise Bible College,Boise ...,"Boise Bible College (BBC) is a private Christian Bible college in Boise, Idaho.

"
154,Boise State University,Boise,"Boise State University (BSU) is a public research university in Boise, Idaho. Founded in 1932 by the Episcopal Church, it became an independent junior college in 1934 and has been awarding baccalaureate and master's degrees since 1965. It became a public institution in 1969.
Boise State offers more than 100 graduate programs, including the MBA and MAcc programs in the College of Business and Economics; Masters and PhD programs in the Colleges of Engineering, Arts & Sciences, and Education; MPA program in the School of Public Service; and the MPH program in the College of Health Sciences. In the Carnegie Classification of Institutions of Higher Education, it is among ""R2: Doctoral Universities – High research activity"".The university's intercollegiate athletic teams, the Broncos, compete in the Mountain West Conference (MWC) in NCAA Division I.

"
155,Boricua College,New York City,"Boricua College is a private college in New York City. The college was designed to serve the education needs of Puerto Ricans and other Hispanics and was founded by Victor G. Alicea and several others.

"
156,Boston Architectural College,Boston,"Boston Architectural College, also known as The BAC, is New England's largest private college of spatial design. It offers first-professional bachelor's and master's degrees in architecture, interior architecture, landscape architecture, and non-professional design studies including real estate development and historic preservation. The college offers continuing education credits and certificates and also hosts the BAC Summer Academy for high school students, as well as a variety of other ways for the general public to explore spatial design. It hosts spatial design exhibits and exhibits student and alumni work in its McCormick Gallery and frequently hosts conferences and symposia on spatial design.
The BAC is accredited by the New England Association of Schools and Colleges (NEASC), National Architectural Accrediting Board (NAAB), Council for Interior Design Accreditation (CIDA, formerly FIDER) and the Landscape Architectural Accreditation Board (LAAB). The BAC is a member of the ProArts Consortium.

"
157,Boston College,Chestnut Hill,"Boston College (BC) is a private Jesuit research university in Chestnut Hill, Massachusetts. Founded in 1863, the university has more than 9,300 full-time undergraduates and nearly 5,000 graduate students. Although Boston College is classified as an R1 research university, it still uses the word ""college"" in its name to reflect its historical position as a small liberal arts college. Its main campus is a historic district and features some of the earliest examples of collegiate gothic architecture in North America. In accordance with its Jesuit heritage, the university offers a liberal arts curriculum with a distinct emphasis on formative education and service to others.Boston College is ranked among the top universities in the United States and undergraduate admission is highly selective. The university offers bachelor's degrees, master's degrees, and doctoral degrees through its eight colleges and schools: Morrissey College of Arts & Sciences, Carroll School of Management, Lynch School of Education and Human Development, Connell School of Nursing, Graduate School of Social Work, Boston College Law School, Boston College School of Theology and Ministry, Woods College of Advancing Studies.
Boston College athletic teams are the Eagles. Their colors are maroon and gold and their and mascot is Baldwin the Eagle. The Eagles compete in NCAA Division I as members of the Atlantic Coast Conference in all sports offered by the ACC. The men's and women's ice hockey teams compete in Hockey East. Boston College's men's ice hockey team has won five national championships.Alumni and affiliates of the university include governors, ambassadors, members of Congress, scholars, writers, medical researchers, Hollywood actors, and professional athletes. Boston College has graduated three Rhodes, 22 Truman, and more than 171 Fulbright scholars. Other notable alumni include a U.S. Speaker of the House, a U.S. Secretary of State, and chief executives of Fortune 500 companies."
158,Boston Graduate School of Psychoanalysis,Brookline ...,"Boston Graduate School of Psychoanalysis is a private educational institution that focuses on training psychoanalysts, particularly in the field of modern psychoanalysis.  Founded in 1973, it only awards graduate degrees.  Its main campus is in Brookline, Massachusetts."
159,Boston University,Boston ...,"Boston University (BU) is a private research university in Boston, Massachusetts. The university is nonsectarian, but has a historical affiliation with the United Methodist Church. It was founded in 1839 by Methodists with its original campus in Newbury, Vermont, before moving to Boston in 1867.The university now has more than 4,000 faculty members and nearly 34,000 students, and is one of Boston's largest employers. It offers bachelor's degrees, master's degrees, doctorates, and medical, dental, business, and law degrees through 17 schools and colleges on three urban campuses. The main campus is situated along the Charles River in Boston's Fenway-Kenmore and Allston neighborhoods, while the Boston University Medical Campus is located in Boston's South End neighborhood. The Fenway campus houses the Wheelock College of Education and Human Development, formerly Wheelock College, which merged with BU in 2018.BU is a member of the Boston Consortium for Higher Education and the Association of American Universities. It is classified among ""R1: Doctoral Universities – Very High Research Activity"".Among its alumni and current or past faculty, the university counts 8 Nobel Laureates, 23 Pulitzer Prize winners, 10 Rhodes Scholars, 6 Marshall Scholars, 9 Academy Award winners, and several Emmy and Tony Award winners. BU also has MacArthur, Fulbright, and Truman Scholars, as well as American Academy of Arts and Sciences and National Academy of Sciences members, among its past and present graduates and faculty. In 1876, BU professor Alexander Graham Bell invented the telephone in a BU lab.

The Boston University Terriers compete in the NCAA Division I. BU athletic teams compete in the Patriot League, and Hockey East conferences, and their mascot is Rhett the Boston Terrier. Boston University is well known for men's hockey, in which it has won five national championships, most recently in 2009."
160,Bowdoin College,Brunswick,not available
161,Bowie State University,Bowie,"Bowie State University is a public historically black university in Prince George's County, Maryland, north of Bowie. It is part of the University System of Maryland. Founded in 1865, Bowie State is Maryland's oldest historically black university and one of the ten oldest in the country. Bowie State is a member-school of the Thurgood Marshall College Fund. In terms of demographics, the Bowie State student population is 61% female, and 82% Black or African American.

"
162,Bowling Green State University,Bowling Green ...,"Bowling Green State University (BGSU) is a public research university in Bowling Green, Ohio. The 1,338-acre (541.5 ha) main academic and residential campus is 15 miles (24 km) south of Toledo, Ohio. The university has nationally recognized programs and research facilities in the natural and social sciences, education, arts, business, health and wellness, humanities and applied technologies. The institution was granted a charter in 1910 as a normal school, specializing in teacher training and education, as part of the Lowry Normal School Bill that authorized two new normal schools in the state of Ohio.  It is a part of University System of Ohio. Over the university's history, it has developed from a small rural normal school into a comprehensive public research university.
In 2019, Bowling Green offered over 200 undergraduate programs, as well as master's and doctoral degrees through eight academic colleges. BGSU had an on-campus residential student population of approximately 6,000 students and a total enrollment of over 19,000 students as of 2018. The university also maintains a satellite campus, known as BGSU Firelands, in Huron, Ohio, 60 miles (97 km) east of the main campus. Although the majority of students attend classes on BGSU's main campus, about 2,000 students attend classes at Firelands and about 600 additional students attend online. About 85% of Bowling Green's students are from Ohio.The university hosts an extensive student life program, with over 300 student organizations. Fielding athletic teams known as Bowling Green Falcons, the university competes at the NCAA Division I level (FBS for football) as a member of the Mid-American Conference in all sports except ice hockey, in which the university is a member of the Central Collegiate Hockey Association. The campus is home to annual events including the Dance Marathon (a student-organized philanthropy event) and State Fire School."
163,Bradley University,Peoria,"Bradley University is a private university in Peoria, Illinois. Founded in 1897, Bradley University  enrolls 5,400 students who are pursuing degrees in more than 100 undergraduate programs and more than 30 graduate programs in five colleges. The university is accredited by the Higher Learning Commission and 22 specialized and professional accreditors.

"
164,Brandeis University,Waltham,"Brandeis University  is a private research university in Waltham, Massachusetts. Founded in 1948 as a non-sectarian, coeducational institution sponsored by the Jewish community, Brandeis was established on the site of the former Middlesex University. The university is named after Louis Brandeis, the first Jewish Justice of the U.S. Supreme Court.
In 2018, it had a total enrollment of 5,800 students on its suburban campus spanning 235 acres (95 hectares). The institution offers more than 43 majors and 46 minors and two-thirds of undergraduate classes have 20 students or fewer. It is classified among ""R1: Doctoral Universities – Very high research activity"" and is a member of Association of American Universities and the Boston Consortium, which allows students to cross-register to attend courses at other institutions including Boston College, Boston University and Tufts University.The university has a strong liberal arts focus and attracts a geographically and economically diverse student body, with 72% of its non-international undergraduates being from out of state, 50% of full-time undergraduates receiving need-based financial aid and 13.5% being recipients of the federal Pell Grant. 34% of students identify as Jewish. It has the eighth-largest proportion of international students of any university in the United States. Alumni and affiliates of the university include former first lady of the United States Eleanor Roosevelt, Nobel Prize laureate Roderick MacKinnon and Fields Medalist Edward Witten, as well as foreign heads of state, congressmen, governors, diplomats, and recipients of the Nobel Prize, Pulitzer Prize, Academy Award, Emmy Award, and MacArthur Fellowship. Brandeis University is accredited by the New England Commission of Higher Education."
165,Brandman University,Irvine,"University of Massachusetts Global (UMass Global), formerly known as Brandman University, is a private nonprofit university with 25 campuses throughout California and Washington and a virtual campus. The university offers more than 90 degree, certificate, credential and professional programs for working adults. Brandman was a separate, regionally-accredited university within the Chapman University system. In September 2021, Brandman separated from the Chapman University system, and formed a new affiliation with the University of Massachusetts, UMass Global. UMass Global retained its regional accreditation from the WASC Senior College and University Commission. Gary Brahm is the appointed chancellor of the university.

"
166,Brazosport College,Lake Jackson,"Brazosport College (BC) is a public community college in Lake Jackson, Texas. The college was opened in 1968 and offers primarily associate degrees and some bachelor's degrees. The campus features The Clarion, a regional musical performance venue, in addition to the Brazosport Center for the Arts and Sciences which houses the Brazosport Museum of Natural Science as well as the Brazosport Planetarium among other institutions.
As defined by the Texas Legislature, the official service area of Brazosport College is the Brazosport, Columbia-Brazoria, Damon, and Sweeny school districts, and the Angleton Independent School District excluding that portion annexed by Alvin Community College prior to September 1, 1995. The service area includes most of Lake Jackson, Clute, Freeport, Jones Creek, Oyster Creek, Quintana, Richwood, and Surfside Beach.

"
167,Brenau University,Gainesville,"Brenau University is a private university with its historic campus in Gainesville, Georgia. Founded in 1878, the university enrolls more than 2,800 students from approximately 48 states and 17 foreign countries who seek degrees ranging from associate through doctoral degrees. The main campus of the Georgia-based institution includes the Brenau Women's College. Brenau also offers another location in Norcross, Georgia.

"
168,Brescia University,Owensboro,"Brescia University is a private Roman Catholic university in Owensboro, Kentucky. It was founded as a junior college for women and is now a coeducational university offering undergraduate and master's programs.

"
169,Brevard College,Brevard,not available
170,Brewton-Parker College,Mount Vernon,not available
171,Briar Cliff University,Sioux City,"Briar Cliff University is a private, Franciscan liberal arts university in Sioux City, Iowa."
172,Bridgewater College,Bridgewater,"Bridgewater College is a private liberal-arts college in Bridgewater, Virginia. Established in 1880, Bridgewater College admitted both men and women from the time of its founding and was the first four-year liberal arts college in Virginia to do so.  Approximately 1,800 students are enrolled.

"
173,Bridgewater State University,Bridgewater,"Bridgewater State University is a public university with its main campus in Bridgewater, Massachusetts. It is the largest of nine state universities in Massachusetts. Including its off-campus sites in New Bedford, Attleboro, and Cape Cod, BSU has the fourth-largest campus of the 29 institutions in the Massachusetts Public Higher Education System. BSU's sports teams are called the Bears. School colors are crimson, white, and black."
174,Brigham Young University,Provo,"Brigham Young University (BYU, sometimes referred to colloquially as The Y) is a private research university in Provo, Utah. It was founded in 1875 by religious leader Brigham Young, and is sponsored by The Church of Jesus Christ of Latter-day Saints (LDS Church).
BYU offers a variety of academic programs, including liberal arts, engineering, agriculture, management, physical and mathematical sciences, nursing, and law. It has 186 undergraduate majors, 64 master's programs, and 26 doctoral programs. It is broadly organized into 11 colleges or schools at its main Provo campus, with certain colleges and divisions defining their own admission standards. The university also administers two satellite campuses, one in Jerusalem and one in Salt Lake City, while its parent organization the Church Educational System (CES) sponsors sister schools in Hawaii and Idaho. The university is accredited by the Northwest Commission on Colleges and Universities.
Almost all BYU students are members of the LDS Church. Students attending BYU agree to follow an honor code, which mandates behavior in line with teachings of the church, such as academic honesty, adherence to dress and grooming standards, abstinence from extramarital sex, from same-sex romantic behavior, and from the consumption of drugs and alcohol. Undergraduate students are also required to complete curriculum in LDS religious education for graduation regardless of their course of study. Due in part to the church's emphasis on missionary service, nearly 50% of BYU students have lived outside the United States, 65% speak a second language, and 63 languages are taught at the university regularly.BYU's athletic teams compete in Division I of the NCAA and are collectively known as the BYU Cougars. Their football team is a D1 Independent, while their other sports teams compete in either the West Coast Conference or Mountain Pacific Sports Federation.  BYU's sports teams have won a total of 12 NCAA championships and 26 non-NCAA championships. On September 10, 2021, BYU formally accepted an invitation to the Big 12 Conference and will start participating in the conference in the 2023–24 school year."
175,Brigham Young University-Hawaii,Laie,not available
176,Brigham Young University-Idaho,Rexburg,"Brigham Young (; June 1, 1801 – August 29, 1877) was an American religious leader and politician. He was the second president of The Church of Jesus Christ of Latter-day Saints (LDS Church) from 1847 until his death in 1877. During his time as church president, Young led his followers, the Mormon pioneers, west from Nauvoo, Illinois to the Salt Lake Valley. He founded Salt Lake City and served as the first governor of the Utah Territory. Young also worked to establish the learning institutions which would later become the University of Utah and Brigham Young University. A polygamist, Young had at least 55 wives and 56 children. He instituted a ban prohibiting conferring the priesthood on men of black African descent, and defended the Utah saints in the Utah War waged by the  United States.

"
